Statistic,,,Zillow Home Value Index,,,,,,Listings with price cut (%),,,,Median value per sq. ft. ($),,,,Median price cut (%),,,,Median list price ($),,,,Median sale price ($),,,,Median list price / sq. ft. ($),,,,Median rent list price ($),,,,Median rent list price / sq. ft. ($),,,,Homes foreclosed,,,,Zillow Rent Index,,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
Keewaydin,neighborhood,All Homes,"$308,700",0.20%,0.70%,4.30%,5.30%,3.30%,---,---,---,---,"$1,013",0.30%,0.80%,4.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,814",0.30%,--0.8%,0.70%
Kenny,neighborhood,All Homes,"$380,400",0.30%,0.80%,2.70%,4.70%,3.60%,---,---,---,---,$260,0.40%,0.80%,2.80%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,940",--1.9%,--6.1%,0.20%
Kenwood,neighborhood,All Homes,"$1,017,600",0.10%,0.30%,1.80%,3.10%,2.50%,---,---,---,---,$345,0.00%,0.30%,1.80%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Kingfield,neighborhood,All Homes,"$351,500",0.20%,0.80%,2.50%,5.50%,4.20%,---,---,---,---,$250,0.00%,0.80%,2.50%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4.4,---,---,---,"$1,877",--0.4%,--4.1%,--0.9%
Lind-Bohanon,neighborhood,All Homes,"$192,800",0.60%,1.50%,8.20%,10.60%,4.40%,---,---,---,---,$168,0.60%,1.20%,7.70%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,456",--0.4%,1.80%,4.80%
Linden Hills,neighborhood,All Homes,"$571,400",0.00%,--0.0%,2.60%,3.80%,3.30%,---,---,---,---,"$1,136",0.10%,0.00%,2.70%,---,---,---,---,"$575,000",--3.3%,--8.0%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Logan Park,neighborhood,All Homes,"$300,200",0.20%,0.90%,4.50%,8.10%,5.70%,---,---,---,---,$218,0.00%,0.90%,4.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Longfellow,neighborhood,All Homes,"$279,200",0.40%,1.00%,4.10%,7.10%,4.20%,---,---,---,---,$235,0.40%,1.30%,4.00%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,771",1.50%,2.60%,4.90%
Loring Park,neighborhood,All Homes,"$275,100",--0.0%,0.20%,4.30%,4.30%,2.90%,---,---,---,---,$992,0.00%,0.20%,4.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,753",0.40%,--2.2%,1.40%
Lowry Hill,neighborhood,All Homes,"$661,900",0.10%,0.70%,2.40%,3.50%,2.30%,---,---,---,---,$291,0.00%,0.70%,2.10%,---,---,---,---,---,---,---,---,---,---,---,---,$300,--2.9%,1.70%,16.70%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,466",--0.1%,--1.6%,--0.8%
Lowry Hill East,neighborhood,All Homes,"$350,100",0.40%,1.30%,3.20%,5.90%,3.80%,---,---,---,---,$265,0.40%,1.10%,3.10%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
Lyndale,neighborhood,All Homes,"$287,800",0.30%,0.90%,2.60%,6.00%,4.70%,---,---,---,---,$210,0.00%,0.50%,2.40%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,737",1.40%,--0.6%,2.40%
Lynnhurst,neighborhood,All Homes,"$598,400",0.10%,0.30%,2.20%,2.60%,2.30%,---,---,---,---,$752,0.00%,0.30%,2.20%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
Marcy Holmes,neighborhood,All Homes,"$315,900",0.40%,1.00%,2.60%,5.60%,3.20%,---,---,---,---,$227,0.40%,1.30%,2.70%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
Marshall Terrace,neighborhood,All Homes,"$252,200",0.80%,1.80%,4.90%,8.90%,5.70%,---,---,---,---,$222,0.90%,1.80%,4.70%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Mckinley,neighborhood,All Homes,"$175,800",0.20%,0.60%,6.50%,13.10%,4.40%,---,---,---,---,$146,0.00%,0.70%,6.60%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,--11.0%,--11.0%,"$1,428",--0.5%,0.70%,4.50%
Midtown Phillips,neighborhood,All Homes,"$224,700",0.00%,0.40%,4.70%,8.40%,4.20%,---,---,---,---,$172,0.00%,0.60%,4.90%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Minnehaha,neighborhood,All Homes,"$265,600",0.40%,1.10%,4.60%,5.90%,3.50%,---,---,---,---,$244,0.40%,1.20%,4.70%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,726",1.00%,3.20%,6.70%
Morris Park,neighborhood,All Homes,"$253,500",0.40%,1.20%,4.60%,7.70%,3.10%,---,---,---,---,$236,0.00%,0.90%,4.40%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,632",0.00%,1.70%,3.60%
Near North,neighborhood,All Homes,"$214,100",--0.3%,0.10%,3.90%,9.10%,4.90%,---,---,---,---,$144,--0.7%,0.00%,3.60%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Nicollet Island,neighborhood,All Homes,"$379,600",--0.4%,--0.4%,4.30%,---,---,---,---,---,---,$292,--0.3%,--0.3%,4.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
North Loop,neighborhood,All Homes,"$407,100",0.30%,0.60%,3.10%,5.40%,4.50%,---,---,---,---,$313,0.00%,0.30%,3.00%,---,---,---,---,---,---,---,---,"$435,300",7.90%,20.10%,10.60%,---,---,---,---,---,---,---,---,---,---,---,---,5.6,---,---,---,---,---,---,---
